ChunkID,Seed,X,Y,Z,R,Theta,Type,Mass,Temperature,Luminosity,ColorR,ColorG,ColorB,Population,Region,Planets,IsMultiple,SystemName
0_0_0,0,0.00,0.00,0.00,0.00,0.00,SMBH,4310000.000,0,0.0000,0.000,0.000,0.000,PopIII,Sagittarius A*,0,False,0
0_0_0,524288000,3.41,0.00,1.28,3.41,0.04,M5V,0.330,3200,0.0400,1.000,0.600,0.400,Bulge,Galactic Center,3,False,524288000
0_0_0,524288001,1.50,0.00,4.07,1.50,0.01,DA,0.711,10000,0.0100,0.950,0.950,1.000,Bulge,Galactic Center,0,True,524288001
0_0_0,524288002,3.59,0.00,10.87,3.59,0.02,G5V,0.870,5500,1.0000,1.000,1.000,0.800,Bulge,Galactic Center,8,False,524288002
0_0_0,524288003,1.68,0.00,13.67,1.68,0.04,M5V,0.287,3200,0.0400,1.000,0.600,0.400,Bulge,Galactic Center,1,False,524288003
0_0_0,524288004,3.77,0.00,16.46,3.77,0.01,M5V,0.312,3200,0.0400,1.000,0.600,0.400,Bulge,Galactic Center,3,False,524288004
0_0_0,524288005,1.86,0.00,23.26,1.86,0.02,M5V,0.338,3200,0.0400,1.000,0.600,0.400,Bulge,Galactic Center,1,False,524288005
0_0_0,524288006,3.95,0.00,26.05,3.95,0.03,K0III,0.974,3500,200.0000,1.000,0.400,0.200,Bulge,Galactic Center,0,False,524288006
0_0_0,524288007,2.04,0.00,28.85,2.04,0.00,NS,1.256,1000000,0.0010,0.700,0.700,1.000,Bulge,Galactic Center,0,False,524288007
0_0_0,524288008,0.12,0.00,35.65,0.12,0.01,M5V,0.295,3200,0.0400,1.000,0.600,0.400,Bulge,Galactic Center,0,False,524288008
0_0_0,524288009,2.21,0.00,38.44,2.21,0.03,M5V,0.320,3200,0.0400,1.000,0.600,0.400,Bulge,Galactic Center,2,False,524288009
0_0_0,524288010,0.30,0.00,41.24,0.30,0.04,M5V,0.346,3200,0.0400,1.000,0.600,0.400,Bulge,Galactic Center,0,False,524288010
